accession	Mut_L0_1	Mut_L0_2	Mut_L3_1	Mut_L3_2	URT1_L12_1_2019	URT1_L12_2_2019	URT1_L17_1_2019	URT1_L17_2_2019
AT4G13430.1	0	0	1	0	0	1	0	0
AT4G13560.1	0	0	0	1	0	0	1	1
AT4G13670.1	0	2	0	0	0	1	3	3
AT4G13780.1	1	2	1	0	2	0	2	2
AT4G13930.1	2	3	1	2	1	2	2	1
AT4G13940.1	65	70	54	71	58	57	72	72
AT4G14080.1	0	0	0	1	0	2	0	1
AT4G14110.1	0	0	0	0	0	1	0	0
AT4G14160.1	0	0	3	0	0	2	2	1
AT4G14300.1	1	0	2	1	3	3	1	2
AT4G15000.1	4	3	3	4	2	2	4	4
AT4G15210.1	0	0	1	2	0	0	0	0
AT4G15790.1	1	0	0	1	0	0	0	0
AT4G15802.1	1	3	2	3	0	0	1	0
AT4G15900.1	0	0	0	0	2	0	1	1
AT4G16060.1	0	0	0	0	0	0	0	1
AT4G16100.1	0	0	0	0	0	1	0	0
AT4G16130.1	6	4	7	4	2	4	8	6
AT4G16143.1	2	1	2	0	1	2	3	4
AT4G16155.1	0	2	0	0	0	0	6	0
AT4G16340.1	0	0	0	0	0	0	0	2
AT4G16390.1	0	0	1	0	0	0	0	0
AT4G16500.1	1	0	1	1	0	0	0	1
AT4G16720.1	8	13	5	6	6	8	11	7
AT4G16760.1	0	1	1	0	1	2	3	1
AT4G16830.1	1	0	0	0	1	1	0	0
AT4G17090.1	0	0	1	0	0	0	0	0
AT4G17140.3	2	0	1	2	1	2	1	2
AT4G17190.1	0	0	0	0	0	0	0	1
AT4G17390.1	8	13	5	6	6	8	11	7
AT4G17520.1	0	1	0	0	3	3	3	2
AT4G17530.1	4	2	5	3	2	2	3	2
AT4G17620.1	1	0	1	1	1	1	0	1
AT4G17770.1	0	1	0	0	0	0	1	1
AT4G17890.1	0	1	1	0	0	1	1	1
AT4G18030.1	0	0	1	0	0	0	0	0
AT4G18040.1	0	1	2	2	0	2	2	1
AT4G18100.1	7	3	3	2	4	4	2	2
AT4G18130.1	0	0	1	0	0	0	0	0
AT4G18430.1	0	0	0	0	0	0	1	0
AT4G18480.1	1	2	0	1	0	0	3	1
AT4G18970.2	0	1	0	0	0	1	0	1
AT4G19006.1	1	0	0	0	0	0	1	0
AT4G19210.1	6	5	6	7	7	7	3	7
AT4G19410.1	1	4	2	1	4	4	4	3
AT4G19470.1	1	0	0	0	0	0	0	0
AT4G20020.1	3	3	2	3	3	4	2	3
AT4G20130.1	0	0	0	0	0	0	0	1
AT4G20320.1	0	0	0	0	0	0	2	0
AT4G20360.1	21	26	20	18	39	43	37	38
AT4G20890.1	52	54	32	35	45	52	49	44
AT4G20940.1	1	0	0	0	0	0	0	0
AT4G20980.1	1	3	2	2	4	3	2	2
AT4G21150.1	3	3	2	2	4	4	2	3
AT4G21160.1	0	0	1	0	0	0	0	0
AT4G21280.2	4	6	4	1	3	4	6	2
AT4G21450.3	1	0	0	0	0	1	1	0
AT4G21620.1	1	1	0	1	1	0	0	0
AT4G21650.1	9	13	9	9	10	12	12	11
AT4G21670.1	0	0	0	0	0	0	0	1
AT4G21710.1	4	5	5	5	3	4	3	4
AT4G22010.1	9	7	10	6	11	13	12	11
AT4G22360.1	0	0	0	0	1	0	0	0
AT4G22380.1	0	1	0	0	0	0	0	0
AT4G22890.1	0	0	2	0	0	1	0	2
AT4G23170.1	0	0	0	0	0	2	0	0
AT4G23400.1	0	1	1	1	0	0	2	1
AT4G23630.1	1	0	0	0	0	1	0	0
AT4G23650.1	1	3	2	2	2	4	4	2
AT4G23680.1	4	4	4	4	2	3	4	3
AT4G23710.1	1	2	0	0	0	0	1	0
AT4G24190.1	5	4	8	9	4	4	10	4
AT4G24280.1	13	15	10	10	11	11	11	9
AT4G24510.1	3	3	3	3	0	0	4	2
AT4G24550.2	0	1	1	0	0	0	1	1
AT4G24680.1	4	5	5	3	11	7	10	5
AT4G24750.1	1	0	1	0	1	1	1	1
AT4G24770.1	0	0	0	0	1	0	0	0
AT4G24800.1	2	1	1	3	1	1	2	1
AT4G24820.1	2	4	1	3	0	0	2	3
AT4G24830.1	0	0	1	2	0	1	3	0
AT4G24920.1-AT5G50460.1	1	2	1	2	2	2	2	2
AT4G25515.1	0	1	0	1	0	0	1	0
AT4G25550.1	0	2	2	1	3	2	2	4
AT4G25590.1	1	1	3	2	2	3	2	2
AT4G25630.1	3	7	6	8	3	4	9	4
AT4G26000.1	0	0	0	0	0	0	1	0
AT4G26110.1	1	3	0	0	0	0	0	0
AT4G26530.1	3	4	3	4	3	3	5	3
AT4G26630.1	0	0	0	0	0	0	1	0
AT4G26650.1	0	2	1	0	1	1	1	0
AT4G26720.1	2	1	0	2	0	0	0	1
AT4G26780.1	0	1	0	0	1	0	0	0
AT4G27000.1	3	4	0	3	5	4	3	4
AT4G27060.1	0	0	0	0	0	1	3	0
AT4G27090.1	5	6	3	2	4	2	4	5
AT4G27440.1	5	3	5	4	9	9	14	6
AT4G27500.1	5	4	1	3	3	1	0	3
AT4G27560.1	0	0	1	0	1	1	3	2
AT4G27585.1	0	1	1	0	0	0	0	1
AT4G27690.1	0	2	0	0	0	0	2	0
AT4G28080.1	2	0	0	0	0	2	0	0
AT4G28250.1	2	0	1	0	0	1	1	0
AT4G28440.1	2	4	1	2	3	5	4	2
AT4G28480.1	0	1	1	0	0	0	0	0
AT4G28880.1	1	1	2	0	3	1	0	2
AT4G29010.1	8	6	8	7	11	8	11	9
AT4G29120.1	0	0	0	0	0	0	2	0
AT4G29130.1	2	0	1	1	1	0	1	1
AT4G29220.1	0	2	2	1	1	1	2	2
AT4G29340.1	0	0	0	0	0	1	0	0
AT4G29380.1	0	0	2	0	1	0	0	2
AT4G29410.1	1	1	1	1	1	1	3	1
AT4G29510.1	0	1	2	2	1	1	1	1
AT4G29520.1	1	1	1	0	1	1	0	0
AT4G29830.1	0	0	0	0	1	0	0	0
AT4G29840.1	1	1	1	1	0	0	1	0
AT4G30190.2	14	11	10	11	8	9	9	15
AT4G30800.1	3	3	2	2	4	1	2	3
AT4G30890.1	0	0	0	1	1	0	0	2
AT4G31180.1	2	1	2	3	2	2	3	2
AT4G31300.2	4	2	2	0	2	1	3	3
AT4G31480.1	13	9	10	11	9	9	14	11
AT4G31580.1	2	4	2	2	2	4	2	3
AT4G31700.1	12	13	7	8	11	14	13	11
AT4G31770.1	1	0	1	1	0	1	0	1
AT4G31880.1	0	0	1	0	1	1	1	1
AT4G32410.1	0	1	0	0	0	0	0	1
AT4G32460.1	0	0	0	0	0	1	0	0
AT4G32551.2	2	4	2	2	3	3	3	5
AT4G33010.1	3	0	0	0	0	0	0	0
AT4G33070.1	2	1	2	2	0	1	0	1
AT4G33200.1	1	0	0	0	0	0	0	0
AT4G33400.1	1	0	0	0	0	0	0	0
AT4G33650.2	1	3	2	3	2	2	2	4
AT4G33760.1	0	1	0	0	0	0	1	0
AT4G34110.1	18	19	22	14	23	19	25	23
AT4G34200.1	2	3	3	2	0	1	5	3
AT4G34450.1	13	9	9	10	14	9	9	11
AT4G34555.1	3	1	1	0	3	2	2	1
AT4G34620.1	0	2	2	3	2	2	3	3
AT4G34670.1	14	15	12	11	11	12	13	12
AT4G34850.1	0	1	0	0	0	0	0	0
AT4G34870.1	12	7	10	7	13	15	3	11
AT4G34980.1	4	7	7	7	4	6	11	9
AT4G35000.1	3	3	1	3	1	1	2	1
AT4G35090.1	6	5	6	8	9	8	10	6
AT4G35100.1	3	3	4	3	3	3	5	3
AT4G35250.1	1	1	1	1	1	1	3	1
AT4G35420.1	0	0	1	1	0	0	1	1
AT4G35800.1	0	1	0	0	1	1	1	1
AT4G35820.1	0	0	0	1	0	0	0	0
AT4G35850.1	9	7	6	5	7	9	7	7
AT4G35890.1	1	0	0	0	0	0	0	0
AT4G36020.1	0	0	1	0	0	0	2	0
AT4G36130.1	11	6	8	7	9	10	11	7
AT4G36210.3	0	0	0	1	0	0	0	0
AT4G36250.1	5	4	5	6	4	4	5	4
AT4G36630.1	0	1	0	0	0	0	0	0
AT4G37200.1	1	1	0	0	0	0	1	2
AT4G37510.1-AT2G48121.2	0	0	0	0	0	0	1	0
AT4G37910.1	20	16	16	12	7	11	13	8
AT4G37930.1	3	5	4	2	2	1	2	2
AT4G37980.1	0	0	1	0	0	0	0	0
AT4G38130.1	0	1	1	1	2	1	1	0
AT4G38440.1	0	1	0	0	0	0	0	0
AT4G38510.5	7	8	7	7	3	5	8	8
AT4G38600.1	1	2	0	1	0	0	4	0
AT4G38630.1	4	4	5	4	4	3	4	5
AT4G38680.1	7	7	7	8	17	20	9	17
AT4G38740.1	0	0	0	0	0	1	0	0
AT4G38890.1	1	0	1	1	0	0	1	0
AT4G38970.1	14	14	14	13	5	10	10	16
AT4G39200.1	7	5	4	2	4	5	1	1
AT4G39260.1	25	25	28	32	46	48	19	33
AT4G39330.1	0	9	4	12	0	3	9	5
AT4G39520.1	3	5	3	3	2	3	3	2
AT4G39730.1	1	0	0	0	0	1	0	0
AT4G39960.1	4	2	2	2	4	5	1	5
AT4G39980.1	4	0	0	1	4	2	4	0
AT5G01390.1	0	0	0	0	0	1	0	0
AT5G01410.1	3	2	4	3	5	3	3	3
AT5G01530.1	7	4	7	4	4	6	8	5
AT5G01600.1	1	0	1	2	0	0	0	1
AT5G02310.1	0	0	0	0	0	0	1	0
AT5G02490.1	69	78	72	69	63	76	78	69
AT5G02500.1	93	103	102	85	89	106	110	90
AT5G02530.1	0	1	1	2	1	3	0	2
AT5G02740.1	3	4	3	1	4	3	2	3
AT5G02870.1	40	33	27	27	40	42	47	33
AT5G02960.1	4	4	4	5	3	4	0	5
AT5G03040.1	2	1	1	1	1	1	0	0
AT5G03280.1	0	0	0	0	0	0	1	0
AT5G03290.1	2	1	2	2	2	1	1	0
AT5G03520.1	4	3	5	2	4	5	5	4
AT5G03740.1	0	1	0	1	0	0	0	1
AT5G03940.1	2	2	1	0	2	2	2	2
AT5G04140.2	0	0	1	0	2	1	1	0
AT5G04280.1	1	1	2	2	2	4	3	2
AT5G04430.2	4	2	3	5	4	6	6	5
AT5G04990.1	0	0	0	0	0	1	0	0
AT5G05000.2	0	6	0	3	0	2	2	2
AT5G05010.1	6	7	4	5	8	3	3	4
AT5G05170.1	3	2	1	0	1	0	0	1
AT5G06600.1	10	10	6	7	11	9	9	7
AT5G06970.1	1	1	0	0	0	0	0	0
AT5G07030.1	4	8	4	8	5	3	9	7
AT5G07340.2	1	0	1	0	1	1	1	0
AT5G07350.2	11	13	7	6	4	9	15	9
AT5G07530.1	6	5	9	8	7	5	12	12
AT5G08300.1	1	1	1	0	0	0	0	0
AT5G08450.1	0	0	0	0	0	1	1	0
AT5G08540.1	0	0	0	0	0	0	1	0
AT5G08610.1	2	1	0	1	1	2	1	1
AT5G08670.1	16	14	11	15	7	13	12	10
AT5G09510.1	6	10	6	5	7	7	9	5
AT5G09590.1	12	8	11	6	6	9	9	6
AT5G09660.4	8	10	8	8	7	10	7	8
AT5G09810.1	60	61	61	55	61	57	51	56
AT5G09880.1	0	2	2	0	1	1	2	2
AT5G09900.3	0	1	0	1	0	0	1	0
AT5G10060.1	0	1	0	0	0	0	0	0
AT5G10240.1	2	0	3	2	4	2	2	3
AT5G10360.1	15	12	8	10	14	15	15	12
AT5G10450.4	4	4	7	6	2	5	11	6
AT5G10470.2	1	1	2	0	2	1	2	0
AT5G10860.1	0	2	0	0	1	0	1	0
AT5G10960.1	1	0	0	0	0	0	0	1
AT5G11040.1	0	0	0	1	0	0	0	0
AT5G11170.1	1	2	2	1	3	2	2	2
AT5G11420.1	5	3	5	4	3	4	2	6
AT5G11770.1	0	1	1	1	0	2	0	0
AT5G12140.1	1	3	2	2	1	1	2	2
AT5G12250.1	48	56	39	41	40	43	58	46
AT5G12370.1	1	2	1	2	4	2	1	3
AT5G12430.1	0	0	0	0	0	0	0	1
AT5G12440.1	1	1	0	1	0	0	0	1
AT5G12950.1	3	4	2	0	5	3	5	2
AT5G12980.1	0	0	1	0	1	0	1	1
AT5G13000.1	0	0	0	1	0	0	0	0
AT5G13030.1	0	0	1	0	0	0	0	0
AT5G13110.1	3	2	3	2	3	2	2	3
AT5G13280.1	2	1	1	1	0	0	1	0
AT5G13430.1	0	0	0	0	0	0	0	1
AT5G13450.1	0	1	1	0	0	0	2	0
AT5G13490.1	18	19	22	22	15	15	17	19
AT5G13510.1	0	1	0	1	0	0	0	0
AT5G13530.1	12	9	5	9	8	7	12	10
AT5G13680.1	0	1	0	0	0	0	2	0
AT5G13780.1	2	2	2	1	3	3	1	1
AT5G13850.1	4	4	2	2	2	3	2	3
AT5G13870.1	1	1	1	1	1	1	1	1
AT5G14040.1	10	11	13	12	9	9	13	13
AT5G14060.1	2	2	2	2	0	0	0	0
AT5G14170.1	2	1	2	3	2	0	3	5
AT5G14320.1	2	1	1	0	0	0	0	0
AT5G14610.1	2	4	3	4	3	4	4	6
AT5G14740.1	8	8	7	7	9	9	8	9
AT5G15090.1	3	3	2	0	3	4	2	2
AT5G15200.1	17	16	16	16	13	18	14	19
AT5G15450.1	3	2	1	0	0	2	0	0
AT5G15490.1	10	8	6	7	5	3	7	5
AT5G15520.1	6	4	3	5	3	4	4	5
AT5G15650.1	6	7	4	4	1	4	7	4
AT5G16050.1	15	14	13	15	7	13	15	14
AT5G16070.1	10	8	5	11	8	11	6	9
AT5G16130.1	0	4	1	1	0	0	2	0
AT5G16280.1	1	0	0	0	0	0	0	0
AT5G16300.1	0	1	1	1	0	0	2	0
AT5G16780.1	0	0	1	0	0	0	0	0
AT5G16930.1	2	2	1	1	2	3	1	2
AT5G16960.1	2	3	1	2	2	2	5	3
AT5G17170.1	2	5	3	3	4	3	2	3
AT5G17580.1	0	0	0	0	0	0	1	0
AT5G17770.1	0	0	0	0	0	0	1	0
AT5G17920.1	18	17	17	19	7	17	22	10
AT5G18110.1	6	9	4	8	5	6	9	11
AT5G18230.2	2	1	0	0	0	2	1	0
AT5G18380.1	15	7	10	11	12	11	12	13
AT5G18410.1	1	1	1	1	1	0	0	2
AT5G18420.2	5	5	5	4	5	4	4	4
AT5G18550.1	1	1	2	2	1	0	2	2
AT5G18570.1	1	0	1	0	1	0	0	0
AT5G18580.1	0	0	0	0	0	0	1	0
AT5G19010.1	2	0	0	0	0	0	1	1
AT5G19290.1	0	0	0	0	1	1	0	0
AT5G19400.1	0	0	0	0	1	1	0	0
AT5G19510.1	10	12	6	9	3	5	9	7
AT5G19690.1	0	0	0	1	0	0	1	1
AT5G19760.1	12	11	13	9	8	10	14	13
AT5G19770.1-AT5G19780.1	48	47	48	52	46	44	64	54
AT5G19820.1	2	2	2	1	0	0	1	2
AT5G19940.1	0	0	0	0	0	0	1	0
AT5G19990.1	4	4	4	5	0	2	6	4
AT5G20010.1	5	4	3	2	3	5	1	3
AT5G20080.1	0	0	0	0	2	1	0	0
AT5G20290.1	9	6	8	6	7	9	10	8
AT5G20490.1	3	4	2	5	2	2	7	6
AT5G20570.2	0	0	0	2	0	0	0	0
AT5G20630.1	0	1	0	0	1	0	0	0
AT5G20650.1	0	0	0	0	1	0	0	0
AT5G20710.1	0	0	0	0	0	2	0	1
AT5G20720.1	0	2	1	0	0	2	0	0
AT5G20890.1	11	6	8	5	7	7	9	6
AT5G20920.1	2	2	0	0	1	1	2	4
AT5G20950.1	0	2	0	0	0	0	0	0
AT5G21160.3	0	3	0	0	1	0	2	0
AT5G22020.1	2	1	1	2	0	0	1	1
AT5G22060.1	15	25	16	19	16	15	21	16
AT5G22330.1	2	2	2	4	2	2	4	3
AT5G22650.1	1	2	1	4	3	1	5	4
AT5G22770.1	2	4	2	1	1	1	8	4
AT5G22880.1	9	13	14	12	16	20	10	14
AT5G23040.1	1	1	1	0	1	0	0	1
AT5G23060.1	6	10	7	10	8	7	12	8
AT5G23120.1	1	0	1	0	1	0	0	1
AT5G23210.1	0	1	0	0	0	0	1	0
AT5G23540.1	2	3	4	1	1	2	3	2
AT5G23580.1	0	0	0	2	1	1	1	1
AT5G23860.1	70	80	53	56	61	66	75	63
AT5G23940.1	0	2	1	1	1	2	1	2
AT5G24300.1	0	0	1	0	0	0	0	1
AT5G24490.1	1	1	0	1	2	2	1	1
AT5G24710.1	0	2	2	1	2	1	2	1
AT5G24780.1	12	14	12	10	10	10	14	13
AT5G25230.1	0	4	3	3	2	2	4	3
AT5G25754.1-AT5G25757.1	0	2	0	2	0	0	0	0
AT5G25980.2	53	56	64	66	71	82	84	87
AT5G26000.1	9	11	12	10	13	13	19	12
AT5G26210.1	1	1	1	1	1	1	1	1
AT5G26360.1	13	10	9	9	9	10	12	10
AT5G26710.1	2	2	3	1	0	1	4	1
AT5G26742.2	17	17	17	17	20	15	25	21
AT5G26830.1	1	3	1	2	0	1	1	1
AT5G27120.1	2	1	1	2	2	0	3	3
AT5G27450.1	0	0	2	0	0	0	1	0
AT5G27540.1	1	1	0	1	1	0	0	0
AT5G27640.2	8	5	7	2	3	3	7	4
AT5G27670.1	4	5	5	7	5	4	4	6
AT5G27700.1	0	0	0	0	0	2	1	0
AT5G27770.1	0	2	0	0	0	0	2	0
AT5G27850.1	10	10	10	11	12	11	6	8
AT5G28060.1	3	6	4	2	0	7	8	5
AT5G28500.1	0	1	0	1	0	1	1	0
AT5G28540.1	37	40	25	22	32	32	30	36
AT5G28640.1	0	0	0	0	0	0	0	1
AT5G28740.1	1	1	1	2	1	1	2	2
AT5G28840.1	5	5	5	4	3	4	6	6
AT5G28850.2	0	0	1	0	0	1	0	0
AT5G30510.1	5	6	5	5	6	6	6	5
AT5G33370.1	0	0	0	0	0	0	2	0
AT5G35180.4	0	0	0	1	0	0	0	0
AT5G35360.3	6	7	7	6	7	6	10	6
AT5G35430.1	3	5	3	3	3	2	8	7
AT5G35530.1	23	15	18	12	13	17	15	14
AT5G35590.1	1	1	1	1	0	0	1	1
AT5G35630.1	9	11	7	8	4	6	10	9
AT5G35790.1	2	1	2	1	2	1	2	1
AT5G36230.1	6	5	3	6	3	4	4	6
AT5G37600.1	3	6	2	2	0	1	3	2
AT5G37720.1	1	2	1	2	0	0	0	0
AT5G38410.3	24	14	16	14	9	13	19	17
AT5G38480.1	10	9	10	10	6	11	11	12
AT5G38660.1	0	0	0	0	0	0	0	1
AT5G39320.1	7	5	6	5	3	2	4	3
AT5G39730.1	12	10	14	14	14	17	13	14
AT5G40480.1	0	0	0	0	1	1	0	0
AT5G40490.1	0	3	6	3	9	10	9	8
AT5G40770.1	2	2	2	2	2	1	1	1
AT5G40950.1	1	0	0	1	0	0	1	0
AT5G41520.1	0	1	1	0	0	0	2	0
AT5G41670.1	5	6	3	5	6	6	8	6
AT5G41770.1	1	1	1	0	0	1	0	1
AT5G41790.1	27	19	22	24	4	4	8	6
AT5G41950.1	1	0	0	0	1	0	1	0
AT5G42020.1	37	41	24	23	32	33	29	37
AT5G42080.1	15	15	12	15	19	19	17	17
AT5G42270.1	3	4	1	5	2	2	0	2
AT5G42790.1	1	3	5	3	3	3	2	3
AT5G42950.1	25	28	30	22	41	36	36	44
AT5G42970.1	1	0	1	2	0	0	2	0
AT5G42980.1	0	1	0	0	1	1	0	0
AT5G43060.1	3	3	2	3	3	2	2	4
AT5G43830.1	0	0	1	0	1	1	1	1
AT5G43940.2	1	0	1	0	0	1	2	0
AT5G43960.1	2	4	4	4	9	17	7	5
AT5G43970.1	0	1	0	1	0	0	0	0
AT5G44320.1	0	1	1	1	1	2	1	1
AT5G44340.1	56	57	41	40	54	58	53	53
AT5G44635.1	0	0	0	0	0	0	0	1
AT5G44780.1	1	2	1	2	0	2	2	3
AT5G45280.2	0	1	0	0	2	1	0	0
AT5G45330.1	0	0	0	0	10	11	8	4
AT5G46070.1	0	2	0	0	0	1	0	1
AT5G46290.3	4	4	1	0	4	6	5	3
AT5G46430.1	3	3	0	1	2	1	2	1
AT5G46630.2	4	2	0	2	0	1	2	3
AT5G46750.1	1	2	1	1	1	1	1	1
AT5G46800.1	3	2	3	1	4	3	2	2
AT5G47010.1	3	2	4	5	5	5	17	13
AT5G47190.1	0	0	0	1	1	0	0	0
AT5G47200.1	4	2	4	3	1	2	3	2
AT5G47210.1	2	4	0	0	3	2	3	0
AT5G47690.3	1	0	0	0	0	0	0	0
AT5G47700.1	0	0	0	1	0	1	0	0
AT5G47930.1	6	4	6	3	4	6	4	4
AT5G48030.1	4	3	3	2	5	3	4	4
AT5G48180.1	2	1	0	0	0	0	0	0
AT5G48230.2	2	3	3	3	2	2	0	0
AT5G48300.1	2	1	2	4	0	2	0	1
AT5G48370.1	1	1	2	1	2	1	2	2
AT5G48375.1	7	7	11	10	11	10	13	12
AT5G48650.1	7	6	9	6	14	14	11	9
AT5G48760.1	11	7	7	8	7	6	7	10
AT5G48810.1	1	1	1	1	0	1	1	0
AT5G48880.2	7	6	6	4	5	3	9	3
AT5G48900.1	0	0	1	0	0	0	0	0
AT5G49220.1	0	0	0	0	0	0	0	1
AT5G49360.1	0	0	0	0	0	0	0	3
AT5G49460.1	16	16	10	12	10	14	10	12
AT5G49830.2	0	0	2	0	0	0	0	0
AT5G49910.1	15	17	11	10	12	14	12	10
AT5G49980.1	0	0	0	0	0	0	1	0
AT5G50320.1	0	0	0	0	0	0	1	0
AT5G50350.1	0	0	1	0	0	0	0	0
AT5G50840.2	0	0	0	0	0	0	1	0
AT5G50850.1	1	3	2	2	2	3	3	2
AT5G50920.1	23	26	22	24	15	17	17	25
AT5G50950.1	0	1	0	0	0	1	1	1
AT5G51660.1	0	1	0	1	1	2	1	0
AT5G51750.1	3	3	3	2	2	1	5	3
AT5G51980.2	0	0	0	0	1	0	1	0
AT5G52240.1	0	0	0	0	0	1	0	0
AT5G52520.1	0	0	1	0	0	0	0	0
AT5G52650.1	3	3	2	2	3	4	3	3
AT5G52840.1	4	4	4	1	3	2	1	5
AT5G52920.1	0	2	1	2	0	0	2	1
AT5G53330.1	0	0	0	0	1	1	0	2
AT5G53620.1	4	6	4	6	7	10	6	7
AT5G54160.1	2	0	3	3	0	0	1	0
AT5G54270.1	8	7	10	7	6	8	8	7
AT5G54430.1	0	0	0	0	0	0	0	1
AT5G54570.1	1	0	0	0	0	0	0	0
AT5G54600.1	2	3	2	4	2	2	5	2
AT5G54770.1	1	1	2	2	2	4	3	1
AT5G54900.1	0	1	2	3	2	3	4	3
AT5G55220.1	1	2	2	1	1	0	0	1
AT5G55660.1	0	0	1	0	1	0	0	1
AT5G55670.1	2	2	3	3	2	2	2	3
AT5G55730.1	2	3	3	3	3	4	4	3
AT5G55920.1	1	1	1	0	0	0	1	0
AT5G56000.1	55	41	41	39	30	38	34	31
AT5G56010.1	66	50	50	49	34	49	36	42
AT5G56030.2	62	50	48	46	34	48	36	41
AT5G56130.1	1	1	1	1	0	0	1	1
AT5G56350.1	0	2	4	2	2	0	6	2
AT5G56630.1	1	2	1	2	2	3	4	2
AT5G56730.1	0	0	0	1	0	0	0	0
AT5G57030.1	1	0	0	0	0	0	0	0
AT5G57110.1	0	1	0	0	1	1	2	0
AT5G57370.1	0	0	1	0	0	1	0	0
AT5G57800.1	1	0	2	1	0	1	2	0
AT5G57850.1	0	0	1	0	0	0	0	0
AT5G57870.1	4	8	5	5	3	5	5	8
AT5G58040.1	0	0	1	0	0	0	0	1
AT5G58290.1	7	5	7	5	2	3	6	7
AT5G58330.1	2	3	0	1	2	2	1	1
AT5G58440.1	0	0	0	0	0	0	1	0
AT5G58470.1	0	0	2	0	4	6	2	1
AT5G59840.1	4	5	5	3	5	5	5	5
AT5G59880.1	11	11	13	12	11	10	14	14
AT5G59890.1	5	6	5	4	4	4	6	4
AT5G60160.1	0	0	0	0	0	0	1	0
AT5G60210.1	2	1	1	2	0	1	0	1
AT5G60640.1	1	0	0	1	0	2	0	0
AT5G60790.1	6	11	6	7	6	4	6	11
AT5G60960.1	1	0	1	0	1	1	1	1
AT5G60980.2	1	2	2	2	0	1	2	1
AT5G61020.1	13	13	13	14	8	5	25	17
AT5G61170.1	7	4	3	4	3	5	4	6
AT5G61780.1	11	12	11	9	13	13	13	11
AT5G61840.1	0	0	0	0	0	0	1	0
AT5G61960.1	0	0	0	0	0	1	0	2
AT5G61970.1	0	1	1	2	1	0	1	0
AT5G62190.1	2	2	2	2	1	0	2	3
AT5G62200.1	0	1	0	1	1	0	1	2
AT5G62270.2	1	0	1	0	1	0	1	2
AT5G62340.1	0	1	0	0	1	0	0	0
AT5G62350.1	0	1	0	0	1	0	0	0
AT5G62390.1	13	17	12	12	10	10	13	11
AT5G62670.1	6	3	3	4	3	4	3	7
AT5G62690.1-AT5G62700.1	98	105	78	77	87	91	96	85
AT5G62790.2	0	0	0	1	0	0	0	0
AT5G62810.1	1	1	0	0	1	0	0	0
AT5G63120.2	2	2	4	3	2	3	5	6
AT5G63140.1	0	0	0	0	0	0	1	0
AT5G63190.1	1	1	1	1	1	1	1	1
AT5G63260.2	1	2	3	4	2	3	5	3
AT5G63400.1	1	1	0	0	0	0	0	0
AT5G63420.1	0	1	2	0	1	0	0	1
AT5G64040.2	0	2	0	2	1	1	1	0
AT5G64130.3	0	0	1	0	0	0	0	0
AT5G64260.1	1	1	0	1	1	1	1	1
AT5G64330.1	0	0	0	1	0	0	0	0
AT5G64960.1	0	0	1	1	1	0	1	2
AT5G65010.2	2	0	2	1	3	1	0	1
AT5G65020.1	0	0	0	0	0	0	1	0
AT5G65220.1	2	3	3	0	4	3	4	2
AT5G65260.1	0	0	0	0	0	0	1	0
AT5G65350.1	0	2	1	2	2	2	2	1
AT5G65430.3	4	5	5	5	0	4	8	4
AT5G65720.1	3	2	1	3	2	1	2	1
AT5G65810.1	0	0	0	1	0	0	0	0
AT5G65940.1	0	0	0	0	1	0	0	0
AT5G66200.1	0	0	0	0	0	1	1	0
AT5G66470.1	2	1	2	0	2	1	0	1
AT5G66510.2	0	0	0	0	0	0	1	0
AT5G66570.1	4	4	7	2	1	6	5	1
AT5G66680.1	2	3	1	0	1	2	0	3
AT5G66760.1	4	3	3	1	5	4	5	2
AT5G66860.1	1	1	0	0	0	0	1	0
AT5G67500.2	0	0	0	0	0	0	0	1
AT5G67510.1	1	1	1	1	0	1	1	0
AT5G67530.1	0	0	0	0	0	0	1	0
AT5G67630.1	6	9	6	6	3	3	11	3
ATCG00020.1	17	15	15	14	11	13	10	16
ATCG00065.1-ATCG01230.1-ATCG00905.1	2	2	0	1	2	1	2	2
ATCG00120.1	21	18	17	15	13	11	19	15
ATCG00130.1	0	2	1	1	1	0	2	0
ATCG00160.1	2	0	2	0	2	2	0	3
ATCG00170.1	0	0	0	0	1	0	0	0
ATCG00180.1	1	0	0	0	0	0	0	0
ATCG00190.1	0	1	0	2	1	1	1	1
ATCG00270.1	8	7	8	7	5	4	9	6
ATCG00280.1	12	10	10	7	11	12	8	8
ATCG00330.1	1	1	2	2	2	2	0	1
ATCG00340.1	1	1	1	0	0	2	1	0
ATCG00380.1	5	4	4	4	5	5	5	5
ATCG00480.1	34	32	31	36	24	33	37	22
ATCG00490.1	120	139	118	115	99	120	123	109
ATCG00500.1	4	4	3	4	3	5	7	2
ATCG00520.1	0	1	0	0	0	0	1	0
ATCG00540.1	0	0	4	2	2	0	3	0
ATCG00580.1	0	0	0	1	0	2	0	0
ATCG00660.1	0	0	1	0	0	0	0	0
ATCG00670.1	1	0	2	1	0	0	1	1
ATCG00680.1	21	20	20	24	8	13	12	16
ATCG00740.1	2	2	2	2	2	4	2	2
ATCG00750.1	3	2	4	2	2	2	3	3
ATCG00770.1	2	3	5	3	5	3	4	3
ATCG00780.1	4	6	6	5	6	7	6	7
ATCG00790.1	3	4	3	2	3	3	4	4
ATCG00800.1	4	3	3	4	2	3	5	4
ATCG00820.1	0	1	0	0	0	1	0	0
