accession	Mut_L0_1	Mut_L0_2	Mut_L3_1	Mut_L3_2	URT1_L12_1_2019	URT1_L12_2_2019	URT1_L17_1_2019	URT1_L17_2_2019
AT1G25490.1	6	2	3	2	3	5	7	4
AT1G26110.1	6	2	5	4	31	35	21	27
AT1G26460.1	4	3	2	2	4	3	6	3
AT1G26550.1	2	1	1	2	2	1	1	0
AT1G26630.1	8	10	7	9	12	11	14	11
AT1G26850.1	0	1	1	0	0	0	0	0
AT1G26880.1	3	4	3	3	3	3	4	3
AT1G27090.1	1	2	2	2	12	7	8	6
AT1G27310.1	0	0	0	0	0	0	1	0
AT1G27400.1	4	3	3	0	6	4	5	3
AT1G27430.1	6	5	6	3	9	6	5	14
AT1G27650.1	0	0	0	0	0	1	1	0
AT1G27750.1	0	0	0	0	0	0	1	0
AT1G27752.1	0	0	0	1	0	1	1	1
AT1G28200.1	1	0	0	0	0	0	0	0
AT1G28290.1	4	2	2	2	4	4	2	3
AT1G29150.1	2	0	0	1	0	1	0	0
AT1G29250.1	1	3	4	2	8	10	5	4
AT1G29350.1	2	0	1	0	1	1	2	0
AT1G29670.1	0	1	1	1	0	0	0	0
AT1G29790.1	0	0	0	1	0	0	1	0
AT1G29880.1	5	5	6	6	4	5	5	5
AT1G29900.1	0	2	0	0	0	0	0	0
AT1G29910.1-AT1G29920.1	27	45	29	43	33	33	46	38
AT1G29990.1	0	0	0	0	2	1	0	0
AT1G30070.2	0	1	0	0	0	0	0	0
AT1G30120.1	2	2	2	2	1	2	1	1
AT1G30230.2	5	7	3	4	4	4	5	4
AT1G30350.1	0	0	0	0	0	0	1	0
AT1G30380.1	1	2	1	2	0	1	1	1
AT1G30460.1	0	0	0	0	0	0	1	0
AT1G30630.1	0	0	0	0	2	1	2	0
AT1G30820.1	0	0	0	0	0	1	0	0
AT1G31230.1	0	0	0	0	0	1	0	0
AT1G31280.1	0	0	0	0	1	1	0	2
AT1G31330.1	15	14	16	13	18	15	19	16
AT1G31812.1	1	1	1	0	0	0	0	1
AT1G31850.1	0	0	1	0	1	0	0	0
